Source,Target,Type,id,Label,timeset,Weight
AQwOWkQmZt0,H1Fl11MnEs4,Undirected,2581,,,1
AQwOWkQmZt0,aEX0ggKjiqQ,Undirected,2582,,,1
AQwOWkQmZt0,S8JehnByn64,Undirected,2583,,,1
AQwOWkQmZt0,F6NCXRgVdDg,Undirected,2584,,,1
AQwOWkQmZt0,ue_-JYHQmu4,Undirected,2585,,,1
AQwOWkQmZt0,YoXJ0KcxhoA,Undirected,2586,,,2
AQwOWkQmZt0,UTbMNsvWzE0,Undirected,2587,,,1
AQwOWkQmZt0,_v8q80UX0FI,Undirected,2588,,,1
bj_1OvI_7ZM,pyC-eMuHi4M,Undirected,2589,,,3
bj_1OvI_7ZM,V8_GF0UIHuY,Undirected,2590,,,4
bj_1OvI_7ZM,WOCvcmRZbSE,Undirected,2591,,,1
bj_1OvI_7ZM,dKZl4pyZk6s,Undirected,2592,,,3
bj_1OvI_7ZM,RGqy_gcuCgM,Undirected,2593,,,1
bj_1OvI_7ZM,S8JehnByn64,Undirected,2594,,,2
bj_1OvI_7ZM,32UuNLo3jsM,Undirected,2595,,,1
bj_1OvI_7ZM,Obj8wwvzb3A,Undirected,2596,,,7
bj_1OvI_7ZM,mJYHwYyWo6o,Undirected,2597,,,3
bj_1OvI_7ZM,iJFeYyeE3og,Undirected,2598,,,2
bj_1OvI_7ZM,5Giij0O3Pdo,Undirected,2599,,,1
bj_1OvI_7ZM,fmDYq_4z6VQ,Undirected,2600,,,4
bj_1OvI_7ZM,UR8iE7dJuCE,Undirected,2601,,,1
bj_1OvI_7ZM,kr4HOXyIUs4,Undirected,2602,,,2
bj_1OvI_7ZM,ODOP2jRW-pA,Undirected,2603,,,5
bj_1OvI_7ZM,dU5zLKptIrY,Undirected,2604,,,1
bj_1OvI_7ZM,2AhDO_f6GLY,Undirected,2605,,,2
bj_1OvI_7ZM,ue_-JYHQmu4,Undirected,2606,,,1
bj_1OvI_7ZM,NsMPfQGjleo,Undirected,2607,,,2
bj_1OvI_7ZM,qaF9juTyo4A,Undirected,2608,,,5
bj_1OvI_7ZM,o30l_ysvNMQ,Undirected,2609,,,1
bj_1OvI_7ZM,H_W8gT0GS14,Undirected,2610,,,3
bj_1OvI_7ZM,z8Vtx4-rvCE,Undirected,2611,,,5
bj_1OvI_7ZM,v83sbCmObc8,Undirected,2612,,,1
bj_1OvI_7ZM,W8xdEYW4nGM,Undirected,2613,,,2
bj_1OvI_7ZM,KDXpQ3n2yIs,Undirected,2614,,,2
bj_1OvI_7ZM,1aWr0Eb-uuw,Undirected,2615,,,2
bj_1OvI_7ZM,BcbBCJCISL0,Undirected,2616,,,1
bj_1OvI_7ZM,8O4EiQooITE,Undirected,2617,,,1
bj_1OvI_7ZM,92xjlj5K1YY,Undirected,2618,,,3
bj_1OvI_7ZM,v_CKEBcZveI,Undirected,2619,,,1
bj_1OvI_7ZM,2S9v4BamOp8,Undirected,2620,,,6
bj_1OvI_7ZM,4pvRNV1hWv8,Undirected,2621,,,8
bj_1OvI_7ZM,WskMx1_PBv4,Undirected,2622,,,3
bj_1OvI_7ZM,5qVa1gD7X1A,Undirected,2623,,,2
bj_1OvI_7ZM,Sp1EHluz9AA,Undirected,2624,,,1
bj_1OvI_7ZM,_6zTa095OoY,Undirected,2625,,,2
bj_1OvI_7ZM,TVl7xlQ5oZU,Undirected,2626,,,1
bj_1OvI_7ZM,1-OAYvb6lRU,Undirected,2627,,,1
bj_1OvI_7ZM,fnWv4jGq1MM,Undirected,2628,,,2
bj_1OvI_7ZM,232NfCD74Fw,Undirected,2629,,,1
bj_1OvI_7ZM,6ivojefbrnY,Undirected,2630,,,1
bj_1OvI_7ZM,h5z0-vjavk4,Undirected,2631,,,1
bj_1OvI_7ZM,0UAUGtp1HpI,Undirected,2632,,,1
bj_1OvI_7ZM,WwJX99f0Dzc,Undirected,2633,,,1
bj_1OvI_7ZM,IeuiCQLagb8,Undirected,2634,,,1
bj_1OvI_7ZM,7z-Cf2K2zJE,Undirected,2635,,,1
bj_1OvI_7ZM,XB1WQ7DOA_A,Undirected,2636,,,3
bj_1OvI_7ZM,TZTX-VSU8gc,Undirected,2637,,,6
bj_1OvI_7ZM,M-pK7OT5SS8,Undirected,2638,,,1
DZN1MlQBzj0,H1Fl11MnEs4,Undirected,2639,,,1
DZN1MlQBzj0,WOCvcmRZbSE,Undirected,2640,,,1
DZN1MlQBzj0,RGqy_gcuCgM,Undirected,2641,,,2
DZN1MlQBzj0,Obj8wwvzb3A,Undirected,2642,,,1
DZN1MlQBzj0,mJYHwYyWo6o,Undirected,2643,,,1
DZN1MlQBzj0,fmDYq_4z6VQ,Undirected,2644,,,1
DZN1MlQBzj0,wjVocepQJNQ,Undirected,2645,,,1
DZN1MlQBzj0,ODOP2jRW-pA,Undirected,2646,,,1
DZN1MlQBzj0,X-doMkcO06Q,Undirected,2647,,,1
DZN1MlQBzj0,NsMPfQGjleo,Undirected,2648,,,2
DZN1MlQBzj0,_qFKcnKX5Bs,Undirected,2649,,,1
DZN1MlQBzj0,z8Vtx4-rvCE,Undirected,2650,,,4
DZN1MlQBzj0,W8xdEYW4nGM,Undirected,2651,,,3
DZN1MlQBzj0,KDXpQ3n2yIs,Undirected,2652,,,1
DZN1MlQBzj0,8O4EiQooITE,Undirected,2653,,,1
DZN1MlQBzj0,sw4xbIedDPo,Undirected,2654,,,1
DZN1MlQBzj0,7z-Cf2K2zJE,Undirected,2655,,,1
DZN1MlQBzj0,CFdXTIFmnqE,Undirected,2656,,,1
pyC-eMuHi4M,V8_GF0UIHuY,Undirected,2657,,,1
pyC-eMuHi4M,Khp9gUDCVNM,Undirected,2658,,,2
pyC-eMuHi4M,RWsZtVNXUro,Undirected,2659,,,1
pyC-eMuHi4M,dKZl4pyZk6s,Undirected,2660,,,2
pyC-eMuHi4M,Obj8wwvzb3A,Undirected,2661,,,3
pyC-eMuHi4M,6l15Y7LYlbI,Undirected,2662,,,1
pyC-eMuHi4M,uQwWvD9PoJM,Undirected,2663,,,1
pyC-eMuHi4M,oohFT4jyKmE,Undirected,2664,,,1
pyC-eMuHi4M,qaF9juTyo4A,Undirected,2665,,,5
pyC-eMuHi4M,z8Vtx4-rvCE,Undirected,2666,,,1
pyC-eMuHi4M,ABztjPE7tzU,Undirected,2667,,,1
pyC-eMuHi4M,1aWr0Eb-uuw,Undirected,2668,,,1
pyC-eMuHi4M,_6zTa095OoY,Undirected,2669,,,1
pyC-eMuHi4M,TVl7xlQ5oZU,Undirected,2670,,,1
pyC-eMuHi4M,1-OAYvb6lRU,Undirected,2671,,,1
pyC-eMuHi4M,fnWv4jGq1MM,Undirected,2672,,,1
pyC-eMuHi4M,XB1WQ7DOA_A,Undirected,2673,,,1
pyC-eMuHi4M,TZTX-VSU8gc,Undirected,2674,,,1
H1Fl11MnEs4,WOCvcmRZbSE,Undirected,2675,,,2
H1Fl11MnEs4,RWsZtVNXUro,Undirected,2676,,,1
H1Fl11MnEs4,fmDYq_4z6VQ,Undirected,2677,,,1
H1Fl11MnEs4,wsUoCZWsk_c,Undirected,2678,,,1
H1Fl11MnEs4,PP9B-mOE7ns,Undirected,2679,,,1
H1Fl11MnEs4,2AhDO_f6GLY,Undirected,2680,,,1
H1Fl11MnEs4,_qFKcnKX5Bs,Undirected,2681,,,1
H1Fl11MnEs4,H3NcqtP4KcI,Undirected,2682,,,1
H1Fl11MnEs4,UTbMNsvWzE0,Undirected,2683,,,11
H1Fl11MnEs4,4pvRNV1hWv8,Undirected,2684,,,1
H1Fl11MnEs4,5qVa1gD7X1A,Undirected,2685,,,1
H1Fl11MnEs4,fnWv4jGq1MM,Undirected,2686,,,1
H1Fl11MnEs4,0UAUGtp1HpI,Undirected,2687,,,1
H1Fl11MnEs4,7z-Cf2K2zJE,Undirected,2688,,,1
H1Fl11MnEs4,kEYocnJK920,Undirected,2689,,,1
aEX0ggKjiqQ,RGqy_gcuCgM,Undirected,2690,,,1
aEX0ggKjiqQ,S8JehnByn64,Undirected,2691,,,1
aEX0ggKjiqQ,F6NCXRgVdDg,Undirected,2692,,,7
aEX0ggKjiqQ,ue_-JYHQmu4,Undirected,2693,,,6
aEX0ggKjiqQ,mGHgtdW-jr4,Undirected,2694,,,3
aEX0ggKjiqQ,KDXpQ3n2yIs,Undirected,2695,,,1
aEX0ggKjiqQ,_v8q80UX0FI,Undirected,2696,,,2
L8WxkOzhmv0,SfWUbFYiY60,Undirected,2697,,,3
L8WxkOzhmv0,ktDoeXSDjF4,Undirected,2698,,,3
L8WxkOzhmv0,5au5N9yMSJY,Undirected,2699,,,6
L8WxkOzhmv0,oO1vUBx482A,Undirected,2700,,,5
L8WxkOzhmv0,L243TqJ10DA,Undirected,2701,,,4
L8WxkOzhmv0,bLwW7HdOJzw,Undirected,2702,,,3
L8WxkOzhmv0,3ig6XnMUk-w,Undirected,2703,,,2
L8WxkOzhmv0,ke_HI58Sheo,Undirected,2704,,,1
L8WxkOzhmv0,bR1Snjcfid8,Undirected,2705,,,1
L8WxkOzhmv0,Dsuq4ax8k2U,Undirected,2706,,,4
L8WxkOzhmv0,KYg-CEyHaqA,Undirected,2707,,,1
L8WxkOzhmv0,vwpWfptH29g,Undirected,2708,,,5
L8WxkOzhmv0,aLXsJMPzZ8E,Undirected,2709,,,2
L8WxkOzhmv0,UL8v2jvI0TY,Undirected,2710,,,3
L8WxkOzhmv0,ikR9wzuWYFU,Undirected,2711,,,5
L8WxkOzhmv0,dU5zLKptIrY,Undirected,2712,,,6
L8WxkOzhmv0,W4CQdy_iODA,Undirected,2713,,,2
L8WxkOzhmv0,0K09i_az0Os,Undirected,2714,,,1
L8WxkOzhmv0,FHDirwsrkzo,Undirected,2715,,,1
L8WxkOzhmv0,AbjS1lVRTps,Undirected,2716,,,3
L8WxkOzhmv0,vwm7auPfyGA,Undirected,2717,,,1
L8WxkOzhmv0,h2xi3-SCtcg,Undirected,2718,,,2
L8WxkOzhmv0,JLHfNrA3v9Q,Undirected,2719,,,1
L8WxkOzhmv0,NpCMTwPXCLI,Undirected,2720,,,2
L8WxkOzhmv0,I-7pOvWEKi8,Undirected,2721,,,1
L8WxkOzhmv0,T12wO6Fcnhw,Undirected,2722,,,2
L8WxkOzhmv0,v83sbCmObc8,Undirected,2723,,,10
L8WxkOzhmv0,VoOaAqapP7E,Undirected,2724,,,2
L8WxkOzhmv0,VhPGCQVxXi8,Undirected,2725,,,1
L8WxkOzhmv0,sUj8r7vtdQw,Undirected,2726,,,2
L8WxkOzhmv0,rIqb1H6X-b8,Undirected,2727,,,1
L8WxkOzhmv0,5KmEZLMafro,Undirected,2728,,,3
L8WxkOzhmv0,pgywC7jA_NA,Undirected,2729,,,4
L8WxkOzhmv0,taqZLcXHB5s,Undirected,2730,,,2
L8WxkOzhmv0,ReNlwdghWQ0,Undirected,2731,,,2
L8WxkOzhmv0,wM6nWRJE1bM,Undirected,2732,,,1
L8WxkOzhmv0,4Xj6OPBbNKI,Undirected,2733,,,3
L8WxkOzhmv0,7WtFYhqecXM,Undirected,2734,,,2
L8WxkOzhmv0,a_fWgbqzf3Y,Undirected,2735,,,2
L8WxkOzhmv0,VON22ZnHajc,Undirected,2736,,,2
L8WxkOzhmv0,eyqAn5JHBes,Undirected,2737,,,2
L8WxkOzhmv0,OevU5jcMaTc,Undirected,2738,,,1
L8WxkOzhmv0,OpkvPu6O0oI,Undirected,2739,,,1
L8WxkOzhmv0,x2Mvh0uOqr4,Undirected,2740,,,1
L8WxkOzhmv0,nosQW1oRpXM,Undirected,2741,,,2
L8WxkOzhmv0,y_clgtnIMGk,Undirected,2742,,,3
L8WxkOzhmv0,ie4hdHi9HOc,Undirected,2743,,,3
V8_GF0UIHuY,RGqy_gcuCgM,Undirected,2744,,,1
V8_GF0UIHuY,S8JehnByn64,Undirected,2745,,,1
V8_GF0UIHuY,32UuNLo3jsM,Undirected,2746,,,1
V8_GF0UIHuY,wsUoCZWsk_c,Undirected,2747,,,1
V8_GF0UIHuY,ODOP2jRW-pA,Undirected,2748,,,2
V8_GF0UIHuY,2S9v4BamOp8,Undirected,2749,,,1
V8_GF0UIHuY,TVl7xlQ5oZU,Undirected,2750,,,1
V8_GF0UIHuY,IeuiCQLagb8,Undirected,2751,,,1
V8_GF0UIHuY,XB1WQ7DOA_A,Undirected,2752,,,1
V8_GF0UIHuY,TZTX-VSU8gc,Undirected,2753,,,1
knxHNFlDfo8,4K6z6NnMy78,Undirected,2754,,,1
knxHNFlDfo8,cyuTp1njwjw,Undirected,2755,,,1
WOCvcmRZbSE,RWsZtVNXUro,Undirected,2756,,,1
WOCvcmRZbSE,dKZl4pyZk6s,Undirected,2757,,,2
WOCvcmRZbSE,RGqy_gcuCgM,Undirected,2758,,,2
WOCvcmRZbSE,Obj8wwvzb3A,Undirected,2759,,,1
WOCvcmRZbSE,eawoW6YH4Ak,Undirected,2760,,,1
WOCvcmRZbSE,5Giij0O3Pdo,Undirected,2761,,,3
WOCvcmRZbSE,kr4HOXyIUs4,Undirected,2762,,,3
WOCvcmRZbSE,wsUoCZWsk_c,Undirected,2763,,,1
WOCvcmRZbSE,wjVocepQJNQ,Undirected,2764,,,1
WOCvcmRZbSE,ODOP2jRW-pA,Undirected,2765,,,5
WOCvcmRZbSE,PP9B-mOE7ns,Undirected,2766,,,2
WOCvcmRZbSE,NsMPfQGjleo,Undirected,2767,,,73
WOCvcmRZbSE,_qFKcnKX5Bs,Undirected,2768,,,2
WOCvcmRZbSE,W8xdEYW4nGM,Undirected,2769,,,4
WOCvcmRZbSE,UTbMNsvWzE0,Undirected,2770,,,3
WOCvcmRZbSE,v_CKEBcZveI,Undirected,2771,,,2
WOCvcmRZbSE,5qVa1gD7X1A,Undirected,2772,,,8
WOCvcmRZbSE,zm5ZM-IJwdY,Undirected,2773,,,2
WOCvcmRZbSE,7U67NhY-OAc,Undirected,2774,,,1
WOCvcmRZbSE,0UAUGtp1HpI,Undirected,2775,,,2
1Oxxi5fDe4s,5au5N9yMSJY,Undirected,2776,,,1
1Oxxi5fDe4s,ke_HI58Sheo,Undirected,2777,,,1
1Oxxi5fDe4s,bR1Snjcfid8,Undirected,2778,,,2
1Oxxi5fDe4s,UL8v2jvI0TY,Undirected,2779,,,1
1Oxxi5fDe4s,7WtFYhqecXM,Undirected,2780,,,1
1Oxxi5fDe4s,hfcFELj3_OM,Undirected,2781,,,1
Khp9gUDCVNM,RWsZtVNXUro,Undirected,2782,,,2
Khp9gUDCVNM,dKZl4pyZk6s,Undirected,2783,,,3
Khp9gUDCVNM,fmDYq_4z6VQ,Undirected,2784,,,2
Khp9gUDCVNM,UR8iE7dJuCE,Undirected,2785,,,1
Khp9gUDCVNM,oohFT4jyKmE,Undirected,2786,,,1
Khp9gUDCVNM,u88OaO1JbhY,Undirected,2787,,,1
Khp9gUDCVNM,2AhDO_f6GLY,Undirected,2788,,,2
Khp9gUDCVNM,PxAVIPDKVcw,Undirected,2789,,,2
Khp9gUDCVNM,wDb5qZfjZgc,Undirected,2790,,,1
Khp9gUDCVNM,fnWv4jGq1MM,Undirected,2791,,,4
Khp9gUDCVNM,FKCk_nrxeFg,Undirected,2792,,,2
Khp9gUDCVNM,WwJX99f0Dzc,Undirected,2793,,,2
Khp9gUDCVNM,M-pK7OT5SS8,Undirected,2794,,,1
RWsZtVNXUro,dKZl4pyZk6s,Undirected,2795,,,3
RWsZtVNXUro,5Giij0O3Pdo,Undirected,2796,,,1
RWsZtVNXUro,fmDYq_4z6VQ,Undirected,2797,,,10
RWsZtVNXUro,oohFT4jyKmE,Undirected,2798,,,3
RWsZtVNXUro,u88OaO1JbhY,Undirected,2799,,,2
RWsZtVNXUro,2AhDO_f6GLY,Undirected,2800,,,3
RWsZtVNXUro,X-doMkcO06Q,Undirected,2801,,,1
RWsZtVNXUro,YoXJ0KcxhoA,Undirected,2802,,,1
RWsZtVNXUro,QGVja7I7LTM,Undirected,2803,,,2
RWsZtVNXUro,1aWr0Eb-uuw,Undirected,2804,,,3
RWsZtVNXUro,8O4EiQooITE,Undirected,2805,,,2
RWsZtVNXUro,LBdtXQnV8Ww,Undirected,2806,,,1
RWsZtVNXUro,1-OAYvb6lRU,Undirected,2807,,,2
RWsZtVNXUro,XlKxBy9zobA,Undirected,2808,,,2
RWsZtVNXUro,fnWv4jGq1MM,Undirected,2809,,,7
RWsZtVNXUro,7U67NhY-OAc,Undirected,2810,,,1
RWsZtVNXUro,h5z0-vjavk4,Undirected,2811,,,1
RWsZtVNXUro,0UAUGtp1HpI,Undirected,2812,,,3
RWsZtVNXUro,FKCk_nrxeFg,Undirected,2813,,,2
RWsZtVNXUro,WwJX99f0Dzc,Undirected,2814,,,1
RWsZtVNXUro,AbY2EA7EyVc,Undirected,2815,,,1
RWsZtVNXUro,PqH9FaCHjEA,Undirected,2816,,,1
RWsZtVNXUro,M-pK7OT5SS8,Undirected,2817,,,2
Ikmxwan_YW0,cLqNESGvI3s,Undirected,2818,,,7
Ikmxwan_YW0,1nEIb6JAofo,Undirected,2819,,,2
Ikmxwan_YW0,82vFlyHFWNQ,Undirected,2820,,,1
Ikmxwan_YW0,VD2EQpo2BgA,Undirected,2821,,,1
Ikmxwan_YW0,1kVurJVB4sw,Undirected,2822,,,1
Ikmxwan_YW0,nMeD1tnj6EE,Undirected,2823,,,1
Ikmxwan_YW0,Yeqv2U60GF4,Undirected,2824,,,1
Ikmxwan_YW0,Su8-I_IBcoU,Undirected,2825,,,3
Ikmxwan_YW0,6viCvTsI_3U,Undirected,2826,,,1
Ikmxwan_YW0,4XI1uF0QwPs,Undirected,2827,,,3
Ikmxwan_YW0,QVMDIcHiTl8,Undirected,2828,,,3
Ikmxwan_YW0,v7sJjpfFE5k,Undirected,2829,,,7
Ikmxwan_YW0,HrjD6Y7oxPI,Undirected,2830,,,1
Ikmxwan_YW0,rCOEk-2Ektw,Undirected,2831,,,1
Ikmxwan_YW0,9ERMpd7UH9E,Undirected,2832,,,9
Ikmxwan_YW0,aIffEtoTaoM,Undirected,2833,,,1
dKZl4pyZk6s,5Giij0O3Pdo,Undirected,2834,,,1
dKZl4pyZk6s,6l15Y7LYlbI,Undirected,2835,,,1
dKZl4pyZk6s,fmDYq_4z6VQ,Undirected,2836,,,14
dKZl4pyZk6s,uQwWvD9PoJM,Undirected,2837,,,7
dKZl4pyZk6s,kr4HOXyIUs4,Undirected,2838,,,1
dKZl4pyZk6s,oohFT4jyKmE,Undirected,2839,,,8
dKZl4pyZk6s,u88OaO1JbhY,Undirected,2840,,,2
