id,Label,timeset,seedrank,publishedatunix,time,channeltitle,channelid,videocategorylabel,defaultlanguage,defaultaudiolanguage,viewcount,likecount,commentcount,commentsdisabled,weighted degree,degree,modularity_class
AQwOWkQmZt0,Wattpad 101 - the BASICS you NEED to know before posting | Wattpad Wednesdays,,,1678116605,2023-03-06T15:03:05Z,caitlin fiffik,UCWW_iFecRiK_GK-VW26zqBQ,People & Blogs,en-US,en-US,26168,1049,113,0,9,8,G
bj_1OvI_7ZM,Wattpad Stories Be Like.. #wattpad #shorts #storytime #skit,,,1654034861,2022-05-31T22:05:41Z,Sierra Reed,UCZzW4P0fldbrpCMV-dqOoKg,People & Blogs,,en,1037223,72161,954,0,116,50,B
DZN1MlQBzj0,TikTok is Wattpad Now,,,1703001613,2023-12-19T16:12:13Z,Simmy,UCYhLb6hjCbUcIhFuIfmEiFQ,Entertainment,en-US,en-US,401649,25207,728,0,25,18,B
pyC-eMuHi4M,The boys find out what wattpad is…#shorts,,,1643200533,2022-01-26T12:01:33Z,ꜱʟʏᴛʜᴇʀɪɴxꜱɪᴍᴘ☽𓆗,UCiHD291Jvy5C1snBp4iO3UQ,People & Blogs,,,171586,4932,121,0,29,19,B
H1Fl11MnEs4,READING YOUR WATTPAD MAIN CHARACTER MOMENTS,,,1671215866,2022-12-16T18:12:46Z,Alana Lintao,UCo-YTDONPvwPFe3ev8lOLDA,Comedy,,en-US,416385,16146,467,0,28,17,B
aEX0ggKjiqQ,the WATTPAD ALGORITHM - how to get your story recommended + ranking higher! | Wattpad Wednesdays,,,1632925801,2021-09-29T14:09:01Z,caitlin fiffik,UCWW_iFecRiK_GK-VW26zqBQ,Howto & Style,en-US,en-US,18066,1068,76,0,22,8,G
L8WxkOzhmv0,Alkazhai dan senja nya By Santrinaaa7 #rekomendasiwattpad #wattpadindonesia #wattpadstory #wattpad,,,1676343606,2023-02-14T03:02:06Z,Simus Official,UC2AKUsRWXm6AtrYz-AZz3ng,People & Blogs,,,791758,66835,233,0,120,47,A
V8_GF0UIHuY,If Wattpad Made a Movie #shorts,,,1632423607,2021-09-23T19:09:07Z,ThatVeganTeacher sSon,UCM_aY1EacSCif5FM8UZKNmQ,Comedy,,,294365,29218,202,0,16,12,B
knxHNFlDfo8,Mafya ve katil karşılaşması mı… #wattpad #viral #keşfet #books #tiktok,,,1709909841,2024-03-08T14:03:21Z,mrsviia | 🕯️,UCKx5XDF3kL1YTMdNgqx8DRA,People & Blogs,,,11739,408,15,0,2,2,C
WOCvcmRZbSE,reading SPICY wattpad fanfictions *tiktok boy edition*,,,1613343607,2021-02-14T23:02:07Z,deb smikle,UC6_k6I_WDQTRatg7emsItYQ,People & Blogs,,,2433611,113719,2880,0,123,23,B
